@Unicode
@Begin
@Languages:	eng, zho
@Participants:	MOT Pan Minmin Mother, CHI Geneveive Child
@ID:	eng||MOT||female|||Mother|||
@ID:	eng||CHI|0;9.23|female||Child|||
@Date:	16-JAN-2016
@Location:	Home
@Comment:	duration of recording 11 minute 21 seconds
@Comment:	video starts at 1 min 30 seconds
@Comment:	transcribed by Yijun
@Situation:	narration of wordless picture book PDF on screen
@Start
*MOT:	have you seen my duckling?
*MOT:	geneveive, look at this!
*MOT:	wow book, see, duckie.
*MOT:	what is this?
*MOT:	butterfly.
*CHI:	&=vocalise.
*MOT:	huh why you don't like the book?
*MOT:	early one morning.
*MOT:	where did the duckie go?
*MOT:	what's this?
*MOT:	butterfly.
*MOT:	see the duckie went away, hor, how many duckies are there?
*MOT:	one two three four five six seven eight, eight duckies.
*MOT:	this ducky went away to catch the butterfly.
*MOT:	you see, let's go onto the next page okay?
*MOT:	you see, duckies.
*MOT:	can you see this?
*MOT:	where are the duckies again?
*MOT:	one two three four five six seven, where's the last duckie?
*MOT:	eight, where's the butterfly?
*MOT:	here.
*MOT:	and where's the mama duck?
*MOT:	here, can see, mommy duck and the baby duckies, right?
*MOT:	what's that?
*MOT:	plant right?
*MOT:	i always say plant plant right?
*MOT:	you want to touch the duckie ah?
*MOT:	touch touch, touch.
*MOT:	small duckie.
*MOT:	mommy duck and the duckies.
*CHI:	&=vocalises.
*MOT:	you wanna go to the next page already?
*MOT:	so fast ah.
*MOT:	see, the mommy duck is here, and all the duckies are here.
*MOT:	you see, except for one!
*MOT:	where's the last duckie?
*MOT:	eh geneveive, look here!
*MOT:	one two three four five six seven, seven duckies in the nest.
*MOT:	you wanna look at the cover again ah?
*MOT:	the cover?
*MOT:	how many duckies are on th cover?
*MOT:	one two three four five six seven eight.
*MOT:	so there are seven here, seven duckies here, where's the last one?
*CHI:	&=vocalises.
*MOT:	where got eight, seven la?
*MOT:	where's the last one?
*MOT:	last one here you see, give me your finger, point.
*MOT:	point, there the last one is here you see.
*MOT:	eh, how come you so far away?
*MOT:	oh, where is it going?
*MOT:	where is the duckie going?
*MOT:	you see the duckies?
*MOT:	one two three four five six seven eight.
*MOT:	the last one is here you see!
*MOT:	that's so strange, hor.
*MOT:	where is it going?
*MOT:	uhm, next page.
*MOT:	see the mommy duckie is looking for the misisng one right.
*MOT:	have you seen my duckling?
*MOT:	where's my duckie, where, what's this?
*MOT:	is this a kingfisher right, kingfisher.
*MOT:	what's this?
*MOT:	flowers.
*MOT:	see, flowers.
*MOT:	your favourite hor?
*MOT:	flowers, point, flowers.
*MOT:	see, one missing duckie.
*MOT:	duckie, it's here!
*MOT:	it's here right?
*MOT:	why you wanna look at the cover again?
*MOT:	close the book again, can you see that?
